111110100;PO;FP;FR;CO
111110200;PO;FP;FR;CO
111110602;PO;FP;FR;CO
111110603;PO;FP;FR;CO
111110604;PO;FP;FR;CO
111111900;PO;FP;FR;CO
111113000;PO;FP;FR;CO
111115000;PO;FP;FR;CO
111115100;PO;FP;FR;CO
111115200;PO;FP;FR;CO
111115300;PO;FP;FR;CO
111120000;PO;FP;FR;CO
111210100;PO;FP;FR;CO
111210200;PO;FP;FR;CO
111210300;PO;FP;FR;CO
111310100;PO;FP;FR;CO
111310200;PO;FP;FR;CO
111310300;PO;FP;FR;CO
111310400;PO;FP;FR;CO
111310500;PO;FP;FR;CO
111310600;PO;FP;FR;CO
111320101;PO;FP;FR;CO
111320102;PO;FP;FR;CO
112110101;PO;FP
112110102;PO;FP
112110103;PO;FP
112110104;PO;FP
112110105;PO;FP
112110106;PO;FP
112110107;PO;FP
112110108;PO;FP
112110199;PO;FP
112110201;PO;FP
112110202;PO;FP
112110301;PO;FP
112110401;PO;FP
112110502;PO;FP
112110599;PO;FP
112117000;PO;FP
112117100;PO;FP
112119900;PO;FP
112120101;PO;FP
112120102;PO;FP
112120103;PO;FP
112120104;PO;FP
112120105;PO;FP
112120106;PO;FP
112120107;PO;FP
112120108;PO;FP
112120199;PO;FP
112120201;PO;FP
112120202;PO;FP
112120301;PO;FP
112120401;PO;FP
112120502;PO;FP
112120599;PO;FP
112127000;PO;FP
112127100;PO;FP
112129900;PO;FP
112130101;PO;FP
112130102;PO;FP
112130103;PO;FP
112130104;PO;FP
112130105;PO;FP
112130106;PO;FP
112130107;PO;FP
112130108;PO;FP
112130199;PO;FP
112130201;PO;FP
112130202;PO;FP
112130301;PO;FP
112130401;PO;FP
112130599;PO;FP
112137000;PO;FP
112137100;PO;FP
112139900;PO;FP
112140101;PO;FP
112140102;PO;FP
112140103;PO;FP
112140104;PO;FP
112140105;PO;FP
112140106;PO;FP
112140107;PO;FP
112140108;PO;FP
112140199;PO;FP
112140201;PO;FP
112140202;PO;FP
112140301;PO;FP
112140401;PO;FP
112140599;PO;FP
112147000;PO;FP
112147100;PO;FP
112149900;PO;FP
112150101;PO;FP
112150102;PO;FP
112150103;PO;FP
112150104;PO;FP
112150105;PO;FP
112150106;PO;FP
112150107;PO;FP
112150108;PO;FP
112150199;PO;FP
112150201;PO;FP
112150202;PO;FP
112150301;PO;FP
112150401;PO;FP
112150599;PO;FP
112157000;PO;FP
112157100;PO;FP
112159900;PO;FP
112210100;PO;FP
112210300;PO;FP
112220100;PO;FP
112220300;PO;FP
112230100;PO;FP
112230300;PO;FP
112240100;PO;FP
112240300;PO;FP
112250100;PO;FP
112250300;PO;FP
112310100;PO;FP
112310200;PO;FP
112319900;PO;FP
112320000;PO;FP
112330101;PO;FP
112330102;PO;FP
112330103;PO;FP
112330104;PO;FP
112330105;PO;FP
112330201;PO;FP
112330202;PO;FP
112330203;PO;FP
112330300;PO;FP
112330400;PO;FP
112330501;PO;FP
112330701;PO;FP
112330799;PO;FP
112330800;PO;FP
112339900;PO;FP
112340101;PO;FP
112340102;PO;FP
112340199;PO;FP
112340300;PO;FP
112340701;PO;FP
112340799;PO;FP
112340800;PO;FP
112349900;PO;FP
112350000;PO;FP
112410101;PO;FP
112410201;PO;FP
112410301;PO;FP
112410302;PO;FP
112410701;PO;FP
112410702;PO;FP
112410703;PO;FP
112410704;PO;FP
112410705;PO;FP
112410706;PO;FP
112410707;PO;FP
112410708;PO;FP
112419900;PO;FP
112420101;PO;FP
112420201;PO;FP
112420301;PO;FP
112420302;PO;FP
112420701;PO;FP
112420702;PO;FP
112420703;PO;FP
112420704;PO;FP
112429900;PO;FP
112430101;PO;FP
112430201;PO;FP
112430301;PO;FP
112430302;PO;FP
112430701;PO;FP
112430702;PO;FP
112430703;PO;FP
112430704;PO;FP
112439900;PO;FP
112440101;PO;FP
112440201;PO;FP
112440301;PO;FP
112440302;PO;FP
112440701;PO;FP
112440702;PO;FP
112440703;PO;FP
112440704;PO;FP
112440801;PO;FP
112440802;PO;FP
112449900;PO;FP
112450101;PO;FP
112450201;PO;FP
112450301;PO;FP
112450302;PO;FP
112450701;PO;FP
112450702;PO;FP
112450703;PO;FP
112450704;PO;FP
112450801;PO;FP
112450802;PO;FP
112459900;PO;FP
112510101;PO;FP
112510102;PO;FP
112510103;PO;FP
112510104;PO;FP
112510105;PO;FP
112510106;PO;FP
112510107;PO;FP
112510108;PO;FP
112510199;PO;FP
112510201;PO;FP
112510202;PO;FP
112510301;PO;FP
112510401;PO;FP
112510500;PO;FP
112510600;PO;FP
112519900;PO;FP
112520101;PO;FP
112520102;PO;FP
112520103;PO;FP
112520104;PO;FP
112520105;PO;FP
112520106;PO;FP
112520107;PO;FP
112520108;PO;FP
112520199;PO;FP
112520201;PO;FP
112520202;PO;FP
112520301;PO;FP
112520401;PO;FP
112529900;PO;FP
112530101;PO;FP
112530102;PO;FP
112530103;PO;FP
112530104;PO;FP
112530105;PO;FP
112530106;PO;FP
112530107;PO;FP
112530108;PO;FP
112530199;PO;FP
112530201;PO;FP
112530202;PO;FP
112530301;PO;FP
112530401;PO;FP
112539900;PO;FP
112540101;PO;FP
112540102;PO;FP
112540103;PO;FP
112540104;PO;FP
112540105;PO;FP
112540106;PO;FP
112540107;PO;FP
112540108;PO;FP
112540199;PO;FP
112540201;PO;FP
112540202;PO;FP
112540301;PO;FP
112540401;PO;FP
112549900;PO;FP
112550101;PO;FP
112550102;PO;FP
112550103;PO;FP
112550104;PO;FP
112550105;PO;FP
112550106;PO;FP
112550107;PO;FP
112550108;PO;FP
112550199;PO;FP
112550201;PO;FP
112550202;PO;FP
112550301;PO;FP
112550401;PO;FP
112559900;PO;FP
112610201;PO;FP
112610202;PO;FP
112610203;PO;FP
112610299;PO;FP
112610300;PO;FP
112610400;PO;FP
112619900;PO;FP
112620201;PO;FP
112620202;PO;FP
112620203;PO;FP
112620299;PO;FP
112620300;PO;FP
112620400;PO;FP
112629900;PO;FP
112630201;PO;FP
112630202;PO;FP
112630203;PO;FP
112630299;PO;FP
112630300;PO;FP
112630400;PO;FP
112639900;PO;FP
112640201;PO;FP
112640202;PO;FP
112640203;PO;FP
112640299;PO;FP
